city,jumlah_review,jumlah_view,location,price,product_id,quantity_sold,rating,shop_name,subcategory,title,Tanggal Pembelian,quantity
Jakarta,1231,"90,600",Jakarta,53000,246580930,3969,5,Chel&#39;z Shop,Piyama,Baju Tidur Cewek-Wanita Piyama Pajamas Satin Murah,28-12-2018,3969
Kota Bandung,551,"69,100",Kota Bandung,47000,210908812,1792,5,Openshop,Blouse,Atasan Wanita Zara Puff Blouse Tunik Baju Muslim Blus Muslim,28-12-2018,1792
Kota Surakarta,442,"55,400",Kota Surakarta,20000,71957699,2690,4,Yona Retail,Daster,Daster Midi - Baju Tidur Wanita Dress Motif Murah Rayon Adem Seri II,26-12-2018,2690
Jakarta,123,"47,700",Jakarta,78000,33447414,277,4,CASHYUPHORIA SHOP,Kemeja,baju atasan kemeja tunik wanita lengan panjang - plaid long blouse,25-12-2018,277
Kota Bandung,115,44000,Kota Bandung,60000,222820000,286,4,Hijab Update,Kemeja,Kemeja putih - Baju busui - Atasan wanita murah : Catty White tunik,24-12-2018,286
Jakarta,224,"43,100",Jakarta,80000,42357283,474,4,Dress,Blouse,Atasan Baju Pakaian Blouse Model Korea Wanita Korean Style Blus Wing,23-12-2018,474
Kota Surabaya,255,"35,100",Kota Surabaya,71000,70946783,551,5,Paphika,Blouse,Jumbo Hazelnut Baju Atasan Wanita Bigsize Oversized Spandex Rayon Adem,22-12-2018,551
Jakarta,123,"34,900",Jakarta,44600,245380472,400,4,ISHETA,Kemeja,HEM KENNA TOP | BAJU WANITA | ATASAN LENGAN PANJANG | BLOUSE | BLUS,20-12-2018,400
Jakarta,30,"33,800",Jakarta,100000,190645994,90,4,chantyshop,Maxi Dress,baju muslim wanita gamis maxi maxy lengan panjang - Visie long dress,19-12-2018,90
Jakarta,212,"31,600",Jakarta,62000,214742211,497,4,Glory Purple Shop,Blouse Batik,61116 tabita top-baju batik wanita-baju tunik-atasan muslim wanita,17-12-2018,497
Jakarta,129,"30,400",Jakarta,55000,170133202,308,4,AsQueen shop,Kemeja,hem love eye kemeja garcon baju atasan wanita,17-12-2018,308
Jakarta,160,"28,900",Jakarta,20000,196465704,670,5,Euro Bikini,Celana Dalam,Celana Dalam Wanita Lingerie Gstring Thong Bikini Baju Pakaian Bra BH,16-12-2018,670
Jakarta,237,26000,Jakarta,50000,180625736,984,5,Makmur Tanah Abang,Kemeja,Baju Wanita kemeja jumbo polos xxl,15-12-2018,984
Jakarta,57,"25,300",Jakarta,225000,208830382,116,4,AMALIA-SHOP,Batik Couple,BATIK COUPLE SARIMBIT KELUARGA SERAGAM PESTA BAJU MUSLIM KEBAYA WANITA,14-12-2018,116
Kab. Pekalongan,102,"25,200",Kab. Pekalongan,68000,146513104,196,5,Batik Alita,Blouse,Blouse Batik Wanita- Atasan Wanita- Baju Kemeja Wanita Batik Kerja 01,12-11-2018,196
Jakarta,244,"25,100",Jakarta,58000,259801313,735,5,Chel&#39;z Shop,Piyama,Baju Tidur Piyama Pajamas Satin silky velvet Cewek-Wanita Dewasa PP,12-11-2018,735
Kota Depok,107,25000,Kota Depok,69900,213654574,329,5,Nina Colecction,Piyama,piyama baju tidur lengan panjang katun kekinian dewasa wanita murah,12-11-2018,329
Jakarta,70,"24,800",Jakarta,56000,157294024,232,4,VOELTOEZ SHOP,Setelan,aop setelan st kodok owl - baju wanita pakaian cewek celana kaos,12-11-2018,232
Jakarta,129,"23,900",Jakarta,56000,191959428,446,5,KINARA Storez,Tank Top,Tank Top Camisole Tanktop Bra Busa Dalaman Baju Atasan Wanita Seksi,12-10-2018,446
Kota Bandung,94,"23,800",Kota Bandung,69000,187623040,200,4,rajagrosironline,Blouse,Baju Atasan Wanita Baju Murah Muslim Blus Tunik Hijab Kode IC70004,12-10-2018,200
Kota Surabaya,104,"22,800",Kota Surabaya,78000,259770617,267,5,Paphika,Blouse Batik,Blouse Batik Super Jumbo Bigsize Baju Atasan Wanita Big Size 373 vol 2,12-9-2018,267
Kota Surabaya,94,"22,100",Kota Surabaya,72000,200114981,207,5,Paphika,Blouse,Big Lolita Blouse Bigsize Baju Atasan Wanita Fashion Spandex Nyaman,12-9-2018,207
Jakarta,108,21000,Jakarta,80000,44654812,235,4,Dress,Blouse,Atasan Baju Pakaian Blouse Model Korea Wanita Korean Style Variasi,12-9-2018,235
Kota Surakarta,85,"20,900",Kota Surakarta,69900,96367530,182,4,Yuc Online Shopping,Vest,vest jeans - cardigan - blazer - kimono - outer murah - baju wanita,12-7-2018,182
Kota Surabaya,150,"20,200",Kota Surabaya,67000,60602813,290,5,Paphika,Blouse,Jumbo Abigail Blouse Baju Atasan Wanita Bigsize Baju Big Ukuran Besar,12-5-2018,290
